Order	Family	Species	Median	Genome Size (Mb)	Assembly Level	Repeats	Gene Number	WGD events	Reference	DOI	WGDeventscount
Gentiales	Rubiaceae	Ophiorrhiza pumila	11	439.9	chromosome	58.17%	32389	Epsilon+Gamma	Rai et al., 2021	https://doi.org/10.1038/s41467-020-20508-2	2
Lamiales	Acanthaceae	Andrographis paniculata	24	280	chromosome	57.35%	24015	Epsilon+Gamma+WGD+WGD	Liang et al., 2020	https://doi.org/10.3389/fgene.2020.00701	4
Lamiales	Acanthaceae	Avicennia mari Forsk. Vierh.	32	456.5	chromosome	40.20%	41206	Epsilon+Gamma+WGD	Friis et al., 2021	https://doi.org/10.1093/g3jourl/jkaa025	3
Lamiales	Acanthaceae	Ruellia speciosa	17	1100	scaffold	70.00%	37848		Zhuang et al., 2017	https://doi.org/10.1093/dres/dsw054	
Lamiales	Bignoniaceae	Handroanthus guayacan	20	512	scaffold	45.59%		Epsilon+Gamma+WGD	Burley et al., 2021	https://doi.org/10.1093/g3jourl/jkab010	3
Lamiales	Bignoniaceae	Handroanthus impetiginosus	20	557	scaffold	31.00%	31688	Epsilon+Gamma+WGD	Bonfim Silva-Junior et al., 2017	https://doi.org/10.1093/gigascience/gix125	3
Lamiales	Bignoniaceae	Jacaranda copaia		558.6	scaffold	59.31%		Epsilon+Gamma+WGD	Burley et al., 2021	https://doi.org/10.1093/g3jourl/jkab010	3
Lamiales	Bignoniaceae	Jacaranda mimosifolia	18	739	chromosome	56.80%	30507	Epsilon+Gamma+WGD	Wang et al., 2021	https://doi.org/10.1093/gbe/evab094	3
Lamiales	Callicarpoideae	Callicarpa america	17	506.1	chromosome	55.90%	32164	Epsilon+Gamma+WGD	Hamilton et al., 2020	https://doi.org/10.1093/gigascience/giaa093	3
Lamiales	Gesneriaceae	Boea hygrometrica	9	1548	scaffold	75.16%	49374	Epsilon+Gamma	Xiao et al., 2015	https://doi.org/10.1073/ps.1505811112	2
Lamiales	Gesneriaceae	Primuli eburnea	18	811.04	chromosome		31807	Epsilon+Gamma+WGD+WGD	Yi et al., 2022	https://doi.org/10.1111/mec.16706	4
Lamiales	Gesneriaceae	Primuli huaijiensis	18	547	chromosome	54.10%	31328	Epsilon+Gamma+WGD+WGD	Feng et al., 2020	https://doi.org/10.1111/nph.16588	4
Lamiales	Gesneriaceae	Primuli tabacum	18	804.26	chromosome		32725	Epsilon+Gamma+WGD+WGD	Yi et al., 2022	https://doi.org/10.1111/mec.16706	4
Lamiales	Gesneriaceae	Streptocarpus rexii	16	929	scaffold	70.97%	45045	Epsilon+Gamma+WGD+WGD	Nishii et al., 2022	https://doi.org/10.1002/pld3.388	4
Lamiales	Lamiaceae	Leonurus japonicus	10	489.34	chromosome		22531	Epsilon+Gamma+WGD	Wang et al., 2024	https://doi.org/10.1038/s41597-023-02901-w	3
Lamiales	Lamiaceae	Leonotis leonurus		688	scaffold	57.90%	148846		Bryson et al., 2023	https://doi.org/10.1038/s41467-023-35845-1	
Lamiales	Lamiaceae	Mentha longifolia	12	470	chromosome	42.00%	42107		Vining et al., 2022	https://doi.org/10.1093/g3jourl/jkac112	
Lamiales	Lamiaceae	Ocimum basilicum	24	2130	scaffold	76.00%	62067	tetraploid	Gonda et al., 2020	https://doi.org/10.1093/dres/dsaa027	
Lamiales	Lamiaceae	Perilla citriodora	10	676.9	chromosome	56.70%	19,978	Epsilon+Gamma+WGD	Zhang et al 2021	https://doi.org/10.1038/s41467-021-25681-6	3
Lamiales	Lamiaceae	Perilla frutescens	20	1259	chromosome	68.84%	76825	Epsilon+Gamma+WGD+WGD	Tamura et al., 2023	https://doi.org/10.1093/dres/dsac044	4
Lamiales	Lamiaceae	Perilla frutescens	20	1241	chromosome	64.10%	23549	Epsilon+Gamma+WGD+WGD	Zhang et al 2021	https://doi.org/10.1038/s41467-021-25681-6	4
Lamiales	Lamiaceae	Plectranthus barbatus		1250	scaffold	74.40%	413222		Bryson et al., 2023	https://doi.org/10.1038/s41467-023-35845-1	
Lamiales	Lamiaceae	Prunella vulgaris	14	786	scaffold	68.30%	229613		Bryson et al., 2023	https://doi.org/10.1038/s41467-023-35845-1	
Lamiales	Lamiaceae	Salvia miltiorrhiza	8	572.17	scaffold	64.84%	32483	Epsilon+Gamma+WGD	Song et al., 2020	https://doi.org/10.1002/tpg2.20041	3
Lamiales	Lamiaceae	Salvia splendens	22	807	chromosome	56.94%	56267	Epsilon+Gamma+WGD+WGD+WGD	Jia et al., 2021	https://doi.org/10.1038/s41438-021-00614-y	5
Lamiales	Lamiaceae	Schizonepeta tenuifolia	6	762	chromosome		30283	Epsilon+Gamma+WGD	Liu et al., 2023	https://doi.org/10.1016/j.molp.2023.01.004	3
Lamiales	Lamiaceae	Scutellaria baicalensis	9	408.14	chromosome	55.15%	28930	Epsilon+Gamma+WGD	Zhao et al., 2019	https://doi.org/10.1016/j.molp.2019.04.002	3
Lamiales	Lamiaceae	Tecto grandis	17	338	chromosome	32.02%	31168	Epsilon+Gamma+WGD	Zhao et al., 2019	https://doi.org/10.1093/gigascience/giz005	3
Lamiales	Lamiaceae	Thymus mongolicus	12	605.2	chromosome	70.98%	32593	Epsilon+Gamma+WGD	Dang et al., 2024	https://doi.org/10.1186/s12864-024-10202-8	3
Lamiales	Lamiaceae	Thymus quinquecostatus	13	528.66	chromosome	70.61%	29676	Epsilon+Gamma+WGD	Sun et al., 2022	https://doi.org/10.1016/j.xplc.2022.100413	3
Lamiales	Lentibulariaceae	Genlisea aurea	26	63.6	scaffold	7.20%	17755		Leushkin et al., 2013	https://doi.org/10.1186/1471-2164-14-476	
Lamiales	Lentibulariaceae	Utricularia gibba	14	77.38	chromosome	3.00%		Epsilon+Gamma+WGD+WGD+WGD	Ibarra-Laclette et al., 2013	https://doi.org/10.1038/ture12132	5
Lamiales	Lentibulariaceae	Utricularia reniformis	20	317.1	scaffold	56.00%	42582	Epsilon+Gamma+WGD+WGD+WGD+WGD	Silva et al., 2019 	https://doi.org/10.3390/ijms21010003	6
Lamiales	Linderniaceae	Craterostigma plantagineum	56	1030	chromosome	35.00%	222749	Epsilon+Gamma+WGD+2xWGD	VanBuren et al., 2022	https://doi.org/10.1101/2022.05.31.494158	5
Lamiales	Linderniaceae	Lindernia brevidens	14	270	chromosome	34.00%	27204	Epsilon+Gamma+WGD	VanBuren et al., 2018	https://doi.org/10.1105/tpc.18.00517	3
Lamiales	Linderniaceae	Lindernia subracemosa	14	250	scaffold	31.00%	33344	Epsilon+Gamma+WGD	VanBuren et al., 2018	https://doi.org/10.1105/tpc.18.00517	3
Lamiales	Nepetoideae	Isodon serra	12	416.45	chromosome	75.01%	28209	Epsilon+Gamma+WGD	Hou et al., 2024	https://doi.org/10.1111/tpj.17170	3
Lamiales	Oleaceae	Forsythia suspensa	14	701.4	scaffold	54.50%	33062	Epsilon+Gamma+WGT	Li et al., 2020	https://doi.org/10.1038/s41438-020-00352-7	3
Lamiales	Oleaceae	Fraxinus america	23	875	scaffold	58.94%	37952	Epsilon+Gamma+WGT+WGD	Fleck et al., 2022	https://doi.org/10.21203/rs.3.rs-2350866/v1	4
Lamiales	Oleaceae	Fraxinus excelsior	23	880	scaffold	17.00%	38852	Epsilon+Gamma+WGT+WGD	Sollars et al., 2017	https://doi.org/10.1038/ture20786	4
Lamiales	Oleaceae	Fraxinus nigra	23	829	scaffold	58.68%	36821	Epsilon+Gamma+WGT+WGD	Fleck et al., 2022	https://doi.org/10.21203/rs.3.rs-2350866/v1	4
Lamiales	Oleaceae	Fraxinus pennsylvanica	23	757	chromosome	49.43%	35470	Epsilon+Gamma+WGT+WGD	Huff et al., 2021	https://doi.org/10.1111/1755-0998.13545	4
Lamiales	Oleaceae	Jasminum sambac	13	510	chromosome	59.70%	21143	Epsilon+Gamma+WGT	Xu et al., 2021	https://doi.org/10.1111/1755-0998.13497	3
Lamiales	Oleaceae	Olea europaea var. sylvestris	23	1460	chromosome	51.00%	50684	Epsilon+Gamma+WGT+WGD	Unver et al., 2017	https://doi.org/10.1073/ps.1708621114	4
Lamiales	Oleaceae	Osmanthus fragrans	23	733.5	chromosome	49.35%	45542	Epsilon+Gamma+WGD+WGD	Yang et al., 2018	https://doi.org/10.1038/s41438-019-0144-4	4
Lamiales	Orobanchaceae	Pedicularis kansuensis	8	1930	chromosome	62.37%	42782		Fang et al., 2024	https://doi.org/10.1111/1755-0998.13966	
Lamiales	Orobanchaceae	Rehmannia glutinosa	14	2350	chromosome	67.00%	48475	Epsilon+Gamma+WGD+WGD	Ma et al., 2021	https://doi.org/10.1016/j.csbj.2021.07.006	4
Lamiales	Orobanchaceae	Striga asiatica 	20	472	scaffold		34577	Epsilon+Gamma+WGD+WGD	Yoshida et al., 2019	https://doi.org/10.1016/j.cub.2019.07.086	4
Lamiales	Paulowniaceae	Paulownia fortunei	20	528.24	chromosome	50.34%	31985	Epsilon+Gamma+WGD	Cao et al., 2021	https://doi.org/10.1016/j.molp.2021.06.021	3
Lamiales	Pedaliaceae	Sesamum indicum	13	337	chromosome	52.81%	24345	Epsilon+Gamma+WGD	Wang et al., 2022	https://doi.org/10.1093/dres/dsac041	3
Lamiales	Plantagiceae	Adenosma india	14	442.84	chromosome	58.62%	24367	Epsilon+Gamma+WGD	Huang et al., 2023	https://doi.org/10.1038/s41597-023-02571-8	3
Lamiales	Plantagiceae	Antirrhinum majus	8	510	chromosome	52.60%	37714	Epsilon+Gamma+WGT	Li et al., 2019	https://doi.org/10.1038/s41477-018-0349-9	3
Lamiales	Plantagiceae	Plantago ovata	4	484.11	chromosome	61.90%	41820		Herlia et al., 2023	https://doi.org/10.1038/s41598-022-25078-5	
Lamiales	Scrophulariaceae	Buddleja alternifolia	19	854	chromosome	71.70%	29434	Epsilon+Gamma+WGD	Ma et al., 2021	https://doi.org/10.1111/nph.17637	3
Caryophyllales	Polygoceae	Persicaria tinctoria	20	1680	chromosome	77.90%	76742	tetraploid	Li et al., 2024	https://doi.org/10.1038/s41597-024-04317-6	
Lamiales	Verbeceae	Petrea volubilis	17	480.2	chromosome	57.80%	30982	Epsilon+Gamma+WGD	Hamilton et al., 2023	https://doi.org/10.1186/s12863-023-01110-z	3
Laurales	Calycanthaceae	Chimonthus praecox	11	778.71	chromosome	45.73%	23591	Epsilon+Lamda+WGD	Shang et al., 2020	https://doi.org/10.1186/s13059-020-02088-y	3
Laurales	Calycanthaceae	Chimonthus salicifolius	11	835.5	chromosome	57.70%	36651	Epsilon+Lamda+WGD	Lv et al., 2020	https://doi.org/10.1111/tpj.14874	3
Laurales	Lauraceae	Cinmomum burmannii	12	940	chromosome	63.24%	41549	Epsilon+Lamda+WGD	Li et al., 2022	https://doi.org/10.1016/j.indcrop.2022.115181	3
Laurales	Lauraceae	Cinmomum camphora	12	723.12	chromosome	59.64%	36411	Epsilon+Lamda+WGD	Wang et al., 2022	https://doi.org/10.1093/hr/uhac216	3
Laurales	Lauraceae	Cinmomum kanehirae	12	765.5	chromosome	48.00%	27899	Epsilon+Lamda+WGD	Chaw et al., 2019	https://doi.org/10.1038/s41477-018-0337-0	3
Laurales	Lauraceae	Litsea corea	12	1212.5	chromosome	57.29%	32445	Epsilon+Lamda+WGD	Zhang et al., 2022	https://doi.org/10.1016/j.ygeno.2022.110394	3
Laurales	Lauraceae	Litsea cubeba	12	1370.14	chromosome	55.47%	31329	Epsilon+Lamda+WGD	Chen et al., 2020	https://doi.org/10.1038/s41467-020-15493-5	3
Laurales	Lauraceae	Persea america	12	920	chromosome	62.00%	42796	Epsilon+Lamda+WGD	th et al., 2022	https://doi.org/10.1093/hr/uhac157	3
Magnoliales	Magnoliaceae	Liriodendron chinense	19	1750	chromosome	61.64%	35269	Epsilon+Lamda	Chen et al., 2019	https://doi.org/10.1038/s41477-018-0323-6	2
Magnoliales	Magnoliaceae	Magnolia biondii Pamp.	19	2220	chromosome	66.48%	47547	Epsilon+Lamda	Dong et al., 2021	https://doi.org/10.1038/s41438-021-00471-9	2
Magnoliales	Magnoliaceae	Magnolia officilis	19	1760	chromosome	81.44%	23050	Epsilon+Lamda	Yin et al., 2021	https://doi.org/10.1016/j.isci.2021.102997	2
Malpighiales	Calophyllaceae	Mesua ferrea	16	496.72	scaffold		46500		Bharatraj Patil  et al., 2021	https://doi.org/10.1016/j.gene.2020.145214	
Malpighiales	Euphorbiaceae	Euphorbia lathyris	10	1071.07	chromosome	65.90%	36342	Epsilon+Gamma	Wang et al., 2021	https://doi.org/10.1093/dres/dsab022	2
Malpighiales	Euphorbiaceae	Euphorbia tirucalli	10	745.62	chromosome	76.37%	26304	Epsilon+Gamma	Wei et al., 2024	https://doi.org/10.1038/s41597-024-03503-w	2
Malpighiales	Euphorbiaceae	Hevea brasiliensis	18	1470	scaffold	71.00%	43792	Epsilon+Gamma+WGD	Tang et al., 2016	https://doi.org/10.1038/nplants.2016.73	3
Malpighiales	Euphorbiaceae	Jatropha curcas	11	410	chromosome	36.60%	25817	Epsilon+Gamma	Chen et al., 2020; Sato et al., 2011	https://doi.org/10.1093/gigascience/giaa009	2
Malpighiales	Euphorbiaceae	Manihot esculenta	18	770	chromosome		30666	Epsilon+Gamma+WGD	Intertiol Cassava Genetic Map Consortium (ICGMC)	https://doi.org/10.1534/g3.114.015008	3
Malpighiales	Euphorbiaceae	Mercurialis annua	8	640	chromosome	58.00%	31604		Ridout et al., 2017	http://dx.doi.org/10.1101/106120	
Malpighiales	Euphorbiaceae	Ricinus communis	10	356	chromosome	53.90%	25814	Epsilon+Gamma	Xu et al., 2021	https://doi.org/10.1186/s13059-021-02333-y	2
Malpighiales	Euphorbiaceae	Triadica sebifera	22	2950	chromosome	64.80%	63207	Epsilon+Gamma+WGD	Luo et al., 2022	https://doi.org/10.1038/s42003-022-03751-9	3
Malpighiales	Hypericaceae	Hypericum perforatum	8	393.4	scaffold	46.90%	29150	Epsilon+Gamma+WGD	Zhou et al., 2020	https://doi.org/10.1111/jpi.12709	3
Malpighiales	Liceae	Linum tenue	10	690	chromosome	49.36%	52826	Epsilon+Gamma+WGD	Gutiérrez-Valencia et al., 2022 	https://doi.org/10.1016/j.cub.2022.08.042	3
Malpighiales	Liceae	Linum usitatissimum	15	537.51	chromosome	55.36%	49616	Epsilon+Gamma+WGD	Sa et al., 2021	https://doi.org/10.3389/fgene.2021.735690	3
Malpighiales	Passifloraceae	Passiflora edulis	9	1270	chromosome	86.61%	39309	Epsilon+Gamma+WGD	Ma et al., 2020	https://doi.org/10.1111/1755-0998.13310	3
Malpighiales	Passifloraceae	Turnera subulata	10	674.8	scaffold	58.55%	30992		Henning  et al., 2023	https://doi.org/10.3390/plants12020286	
Malpighiales	Phyllanthaceae	Phyllanthus emblica	104	1820	chromosome	47.70%	164235	neooctoploid	Li et al 2024	https://doi.org/10.1111/tpj.16767	
Malpighiales	Phyllanthaceae	Sauropus spatulifolius	103	4880	chromosome	70.32%	150021	neooctoploid	Li et al 2024	https://doi.org/10.1111/tpj.16767	
Malpighiales	Rafflesiaceae	Sapria himalaya Griff.		1690	scaffold	89.60%	55179		Cai et al., 2021	https://doi.org/10.1016/j.cub.2020.12.045	
Malpighiales	Rhizophoraceae	Bruguiera cylindrica	18	237.4	chromosome	28.00%	21191	Epsilon+Gamma+WGD	Shearman et al., 2022	https://doi.org/10.1016/j.ygeno.2022.110382	3
Malpighiales	Rhizophoraceae	Bruguiera gymnorhiza	18	365	chromosome	48.00%	34403	Epsilon+Gamma+WGD	Miryeganeh et al., 2021	https://doi.org/10.1111/nph.17738	3
Malpighiales	Rhizophoraceae	Bruguiera hainesii	36	422.2	chromosome		50413	Epsilon+Gamma+WGD	Shearman et al., 2022	https://doi.org/10.1016/j.ygeno.2022.110382	3
Malpighiales	Rhizophoraceae	Bruguiera parviflora	18	206	chromosome	26.03%	21856	Epsilon+Gamma+WGD+WGD	 Pootakham et al., 2022	https://doi.org/10.1111/1755-0998.13587	4
Malpighiales	Rhizophoraceae	Bruguiera sexangula	18	259	chromosome	38.20%	23978	Epsilon+Gamma+WGD	 Pootakham et al., 2022	https://doi.org/10.1093/gbe/evac025	3
Malpighiales	Rhizophoraceae	Ceriops tagal	18	228	chromosome	35.12%	22203	Epsilon+Gamma+WGD	 Pootakham et al., 2022	https://doi.org/10.1002/tpg2.20217	3
Malpighiales	Rhizophoraceae	Ceriops zippelia	18	246	chromosome	39.23%	21724	Epsilon+Gamma+WGD	 Pootakham et al., 2022	https://doi.org/10.1093/g3jourl/jkac025	3
Malpighiales	Rhizophoraceae	Kandelia obovata	18	178.44	chromosome	24.07%	26640	Epsilon+Gamma+WGD	Hu et al., 2020	https://doi.org/10.1038/s41438-020-0300-x	3
Malpighiales	Rhizophoraceae	Rhizophora apiculata	18	232	chromosome	29.00%	26640	Epsilon+Gamma+WGD	Xu et al., 2017	https://doi.org/10.1093/nsr/nwx065	3
Malpighiales	Salicaceae	Chosenia arbutifolia	19	338.93	chromosome	42.34%	33229	Epsilon+Gamma+WGD	He et al., 2022	https://doi.org/10.1093/gigascience/giac109	3
Malpighiales	Salicaceae	Populus alba × Populus glandulosa	38	781.36	scaffold	42.12%	77150	Epsilon+Gamma+WGD+WGD	Huang et al., 2021	https://doi.org/10.1007/s11676-020-01235-2	4
Malpighiales	Salicaceae	Populus deltoides	19	429	chromosome	39.28%	32245	Epsilon+Gamma+WGD	Bai et al., 2021	https://doi.org/10.1093/jhered/esab010	3
Malpighiales	Salicaceae	Populus euphratica	19	574.34	chromosome	56.95%	36606	Epsilon+Gamma+WGD	Zhang et al., 2020 	https://doi.org/10.1111/1755-0998.13142	3
Malpighiales	Salicaceae	Populus tomentosa Carr.	38	740.2	chromosome	41.93%	59124	Epsilon+Gamma+WGD+WGD	An et al., 2021	https://doi.org/10.1111/1755-0998.13507	4
Malpighiales	Salicaceae	Populus trichocarpa	19	475	chromosome	44.00%	45555	Epsilon+Gamma+WGD	Tuskan et al., 2006	https://doi.org/10.1126/science.1128691	3
Malpighiales	Salicaceae	Salix dunnii	19	333	chromosome	41.05%	31501	Epsilon+Gamma+WGD	He et al., 2021	https://doi.org/10.1111/1755-0998.13362	3
Malpighiales	Salicaceae	Salix suchowensis	19	356.5	chromosome	47.27%	36937	Epsilon+Gamma+WGD	Wei et al., 2020	https://doi.org/10.1038/s41438-020-0268-6	3
Malpighiales	Salicaceae	Salix vimilis	19	357	scaffold	35.00%	36490	Epsilon+Gamma+WGD	Almeida et al., 2020	https://doi.org/10.1186/s12915-020-00808-1	3
Malvales	Dipterocarpaceae	Shorea leprosula	7	391	scaffold	33.00%	60563	Epsilon+Gamma+WGD	Kit Siong Ng et al., 2021	https://doi.org/10.1038/s42003-021-02682-1	3
Malvales	Malvaceae	Corchorus capsularis	7	404	chromosome	56.17%	30096	Epsilon+Gamma+WGD	Islam et al., 2017	https://doi.org/10.1038/nplants.2016.223	3
Malvales	Malvaceae	Corchorus olitorius	7	448	chromosome	53.72%	37031	Epsilon+Gamma+WGD	Islam et al., 2017	https://doi.org/10.1038/nplants.2016.223	3
Malvales	Malvaceae	Durio zibethinus	28	738	chromosome	54.80%	45335	Epsilon+Gamma+WGD	Teh et al., 2017	https://doi.org/10.1038/ng.3972	3
Malvales	Malvaceae	Gossypioides kirkii	12	588	chromosome	31.70%	36669		Udall et al., 2019	https://doi.org/10.3389/fpls.2019.01541	
Malvales	Malvaceae	Gossypium arboreum	13	1509	chromosome	73.62%	43278	Epsilon+Gamma+WGD	Huang et al., 2020	https://doi.org/10.1038/s41588-020-0607-4	3
Malvales	Malvaceae	Gossypium barbadense	26	2195	chromosome	72.24%	74561	Epsilon+Gamma+WGD+WGD	Chen et al., 2020	https://doi.org/10.1038/s41588-020-0614-5	4
Malvales	Malvaceae	Gossypium bickii	13	1766	chromosome	74.19%	43790	Epsilon+Gamma+WGD	Sheng et al., 2023	https://doi.org/10.1016/j.xplc.2022.100421	3
Malvales	Malvaceae	Gossypium darwinii	26	2182	chromosome	72.29%	78303	Epsilon+Gamma+WGD+WGD	Chen et al., 2020	https://doi.org/10.1038/s41588-020-0614-5	4
Malvales	Malvaceae	Gossypium herbaceum	13	1489	chromosome	72.57%	43952	Epsilon+Gamma+WGD	Huang et al., 2020	https://doi.org/10.1038/s41588-020-0607-4	3
Malvales	Malvaceae	Gossypium hirsutum	26	2305	chromosome	73.21%	75376	Epsilon+Gamma+WGD+WGD	Chen et al., 2020	https://doi.org/10.1038/s41588-020-0614-5	4
Malvales	Malvaceae	Gossypium hirsutum L. CRI12	26	2240	chromosome		72262	Epsilon+Gamma+WGD+WGD	Liu et al., 2023	https://doi.org/10.1186/s13059-023-03124-3	3
Malvales	Malvaceae	Gossypium mustelinum	26	2315	chromosome	72.85%	74699	Epsilon+Gamma+WGD+WGD	Chen et al., 2020	https://doi.org/10.1038/s41588-020-0614-5	4
Malvales	Malvaceae	Gossypium raimondii	13	880	chromosome	73.30%	40976	Epsilon+Gamma+WGD	Wang et al., 2012	https://doi.org/10.1038/ng.2371	3
Malvales	Malvaceae	Gossypium tomentosum	26	2193	chromosome	72.24%	78338	Epsilon+Gamma+WGD+WGD	Chen et al., 2020	https://doi.org/10.1038/s41588-020-0614-5	4
Malvales	Malvaceae	Gossypium turneri	13	910	chromosome	32.50%	38489	Epsilon+Gamma+WGD	Udall et al., 2019	https://doi.org/10.1534/g3.119.400392	3
Malvales	Malvaceae	Hibiscus mutabilis	46	3032.98	chromosome	58.55%	118222	Epsilon+Gamma+WGD+WGD	Yang et al., 2022	https://doi.org/10.3389/fpls.2022.818206	4
Malvales	Malvaceae	Hibiscus syriacus	40	1901	scaffold	57.60%	87603	Epsilon+Gamma+WGD+WGD	Kim et al., 2017	https://doi.org/10.1093/dres/dsw049	4
Malvales	Malvaceae	Theobroma cacao	10	430	chromosome	25.70%	28798	Epsilon+Gamma	Argout et al., 2011	https://doi.org/10.1038/ng.736	2
Malvales	Thymelaeaceae	Aquilaria agallocha	8	736	scaffold	59.18%	40507		Chen et al., 2014	https://doi.org/10.1186/1471-2164-15-578	
Malvales	Thymelaeaceae	Aquilaria sinensis	8	783.8	chromosome	61.22%	35965		Nong et al., 2020	https://doi.org/10.1111/1755-0998.13154	
Malvales	Thymelaeaceae	Stellera chamaejasme	9	439.66	chromosome	66.35%	31547	Epsilon+Gamma+WGD	Hu et al., 2022	https://doi.org/10.1111/mec.16622	3
Myrtales	Lythraceae	Lagerstroemia speciosa	24	319.66	chromosome	36.50%	30,497	Epsilon+Gamma+WGT	Feng et al., 2024	https://doi.org/10.1038/s41467-024-46080-7	3
Myrtales	Lythraceae	Punica gratum	8	313.18	chromosome	50.93%	33594	Epsilon+Gamma+WGD	Luo et al., 2019	https://doi.org/10.1111/pbi.13260	3
Myrtales	Lythraceae	Sonneratia alba	12	204.46	chromosome	20.95%	25,284	Epsilon+Gamma+WGT	Feng et al., 2024	https://doi.org/10.1038/s41467-024-46080-7	3
Myrtales	Melastomataceae	Melastoma candidum	12	257.1	chromosome	31.50%	40938	Epsilon+Gamma+WGD	Zhong et al., 2023	https://doi.org/10.3389/fpls.2023.1126319	3
Myrtales	Melastomataceae	Melastoma dodecandrum	12	299.81	chromosome	40.90%	35681	Epsilon+Gamma+WGD	Hao et al., 2022	https://doi.org/10.1016/j.jgg.2021.10.004	3
Myrtales	Myrtaceae	Corymbia citriodora	11	408	chromosome	35.80%	35632	Epsilon+Gamma+WGD	Healey et al., 2021	https://doi.org/10.1038/s42003-021-02009-0	3
Myrtales	Myrtaceae	Eucalyptus grandis	11	640	chromosome	50.00%	36376	Epsilon+Gamma+WGD	Myburg et al., 2014	https://doi.org/10.1038/ture13308	3
Myrtales	Myrtaceae	Eucalyptus pauciflora	11	408.16	chromosome	44.77%		Epsilon+Gamma+WGD	Wang et al., 2020	https://doi.org/10.1093/gigascience/giz160	3
Myrtales	Myrtaceae	Leptospermum scoparium	11	218	chromosome	32.40%	31220	Epsilon+Gamma+WGD	Thrimawitha et al., 2019	https://doi.org/10.1080/01140671.2019.1657911	3
Myrtales	Myrtaceae	Melaleuca alternifolia	11	300	scaffold	40.43%	44369	Epsilon+Gamma+WGD	Zhang et al., 2023	https://doi.org/10.1007/s11033-022-08157-8	3
Myrtales	Myrtaceae	Metrosideros polymorpha	11	424	chromosome	8.03%	27620	Epsilon+Gamma+WGD	Izuno et al., 2019	https://doi.org/10.1534/g3.119.400643	3
Myrtales	Myrtaceae	Psidium friedrichsthalianum	11	958	scaffold	62.60%	52422	Epsilon+Gamma+WGD	Rojas-Gómez et al., 2022	https://doi.org/10.1007/s10722-021-01291-5	3
Myrtales	Myrtaceae	Psidium guajava	11	463.8	chromosome	43.55%	25601	Epsilon+Gamma+WGD	Feng et al., 2020	https://doi.org/10.1111/pbi.13498	3
Myrtales	Myrtaceae	Rhodomyrtus tomentosa	11	470.35	chromosome	50.80%	33382	Epsilon+Gamma+WGD	Li et al., 2023	https://doi.org/10.1093/hr/uhad005	3
Myrtales	Myrtaceae	Syzygium aromaticum	11	343	chromosome	43.55%	27528	Epsilon+Gamma+WGD	Ouadi et al., 2022	https://doi.org/10.1038/s42003-022-03618-z	3
Nymphaeales	Nymphaeaceae	Nymphaea colorata	14	409	chromosome	39.20%	31580	Epsilon+WGD	Zhang et al., 2020 	https://doi.org/10.1038/s41586-019-1852-5	2
Nymphaeales	Nymphaeaceae	Nymphaea thermarum	14	497	scaffold		25760	Epsilon+WGD	Povilus et al., 2020	https://doi.org/10.1073/ps.1922873117	2
Oxalidales	Cephalotaceae	Cephalotus follicularis	10	2118	scaffold	76.00%	36503	Epsilon+Gamma	Fukushima et al., 2017	https://doi.org/10.1038/s41559-016-0059	2
Oxalidales	Oxalidaceae	Averrhoa carambola	11	357.79	chromosome	61.30%	25419	Epsilon+Gamma	Wu et al., 2020	https://doi.org/10.1038/s41438-020-0307-3	2
Pandales	Velloziaceae	Acanthochlamys bracteata	20	204.24	chromosome	28.63%	23509		Gao et al., 2021	https://doi.org/10.1093/gbe/evab147	
Pandales	Velloziaceae	Xerophyta viscosa	24	295.5	scaffold	18.00%	25425	octoploid	Cecília D. Costa et al., 2017	https://doi.org/10.1038/nplants.2017.38	
Piperales	Aristolochiaceae	Aristolochia contorta	7	290.64	chromosome	38.26%	18311	Epsilon	Cui et al., 2022	https://doi.org/10.1093/hr/uhac005	1
Piperales	Aristolochiaceae	Aristolochia fimbriata	7	258	chromosome	52.10%	21751	Epsilon	Qin et al., 2021	https://doi.org/10.1038/s41477-021-00990-2	1
Poales	Bromeliaceae	Aechmea fasciata	24	352	chromosome	61.72%	26126	Epsilon+Tau+Sigma	Li et al., 2022	https://doi.org/10.1038/s42003-022-03918-4	3
Poales	Bromeliaceae	As comosus	25	526	chromosome	44.00%	27024	Epsilon+Tau+Sigma	Ming et al., 2015	https://doi.org/10.1038/ng.3435	3
Poales	Bromeliaceae	Puya raimondii		330	scaffold	67.02%	26696	Epsilon+Tau+Sigma	Liu et al., 2021	https://doi.org/10.1016/j.ygeno.2021.05.042	3
Poales	Cyperaceae	Carex cristatella	35	255.2	chromosome	40.04%	26500		Planta et al., 2022	https://doi.org/10.1093/g3jourl/jkac211	
Poales	Cyperaceae	Carex kokanica		673.4	scaffold	55.47%	36709		Qu et al., 2022	https://doi.org/10.1038/s41598-022-08783-z	
Poales	Cyperaceae	Carex parvula	32	783.49	scaffold	52.46%	45002		Qu et al., 2022	https://doi.org/10.1038/s41598-022-08783-z	
Poales	Cyperaceae	Carex scoparia	32	268.8	chromosome	39.93%	25799		Planta et al., 2022	https://doi.org/10.1093/g3jourl/jkac211	
Poales	Cyperaceae	Cyperus esculentus L.	54	228.3	chromosome	33.90%	23613	Epsilon+Tau+Sigma+WGD	Zhao et al., 2023	https://doi.org/10.1093/gbe/evad027	4
